2023-10-31 00:16:22,019 INFO    MainThread:160271 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_setup.py:_flush():76] Configure stats pid to 160271
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_setup.py:_flush():76] Loading settings from /home/mkumar/.config/wandb/settings
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_setup.py:_flush():76] Loading settings from /lustre/fs1/home/mkumar/Coursework/UCF-Courses/Fall 2023/CAP 5415/Assignments/PA3/wandb/settings
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Fall 2023/CAP 5415/Assignments/PA3/train.py', 'program_abspath': '/lustre/fs1/home/mkumar/Coursework/UCF-Courses/Fall 2023/CAP 5415/Assignments/PA3/train.py', 'program': '/lustre/fs1/home/mkumar/Coursework/UCF-Courses/Fall 2023/CAP 5415/Assignments/PA3/train.py'}
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_init.py:_log_setup():528] Logging user logs to /lustre/fs1/home/mkumar/Coursework/UCF-Courses/Fall 2023/CAP 5415/Assignments/PA3/wandb/run-20231031_001622-ypndpo8j/logs/debug.log
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_init.py:_log_setup():529] Logging internal logs to /lustre/fs1/home/mkumar/Coursework/UCF-Courses/Fall 2023/CAP 5415/Assignments/PA3/wandb/run-20231031_001622-ypndpo8j/logs/debug-internal.log
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_init.py:init():568] calling init triggers
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'epochs': 10, 'mode': 'CNN'}
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_init.py:init():618] starting backend
2023-10-31 00:16:22,020 INFO    MainThread:160271 [wandb_init.py:init():622] setting up manager
2023-10-31 00:16:22,022 INFO    MainThread:160271 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-31 00:16:22,023 INFO    MainThread:160271 [wandb_init.py:init():628] backend started and connected
2023-10-31 00:16:22,025 INFO    MainThread:160271 [wandb_init.py:init():720] updated telemetry
2023-10-31 00:16:22,035 INFO    MainThread:160271 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-31 00:16:22,313 INFO    MainThread:160271 [wandb_run.py:_on_init():2220] communicating current version
2023-10-31 00:16:22,414 INFO    MainThread:160271 [wandb_run.py:_on_init():2229] got version response 
2023-10-31 00:16:22,414 INFO    MainThread:160271 [wandb_init.py:init():804] starting run threads in backend
2023-10-31 00:16:45,205 INFO    MainThread:160271 [wandb_run.py:_console_start():2199] atexit reg
2023-10-31 00:16:45,206 INFO    MainThread:160271 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-31 00:16:45,206 INFO    MainThread:160271 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-31 00:16:45,206 INFO    MainThread:160271 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-31 00:16:45,208 INFO    MainThread:160271 [wandb_init.py:init():845] run started, returning control to user process
2023-10-31 00:19:47,404 WARNING MsgRouterThr:160271 [router.py:message_loop():77] message_loop has been closed
